b_lam,b_xw,sc_s_key,sc_lam_key,C,power,r_squared
0.1,0.48500000000000004,w,mixed,1.1735706478719583,1.0333154563306903,0.9994314386606938
0.1,0.48500000000000004,w,beta,0.4460106601525701,1.5010884937080964,0.9729742797614895
0.1,0.48500000000000004,xw,no,3.0094681488005923,0.8561066456604668,0.9999884724313685
0.1,0.48500000000000004,xw,D,2.1792228208522317,0.9999999999999999,1.0
0.1,0.48500000000000004,xw,mixed,1.7061318815779143,1.109230282948679,0.9995682943860739
0.1,0.48500000000000004,xw,beta,1.044517706254534,1.3436550392881836,0.9943250150480626
0.1,0.51,,no,2.4885976858218966,0.0,0.0
0.1,0.51,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.51,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.51,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.51,x,no,1.7737232350022245,0.7791342870342065,0.9950816744211571
0.1,0.51,x,D,1.8929478263038455,0.7689423942599329,0.9998764733306077
0.1,0.51,x,mixed,1.2361471909699593,0.957539678116749,0.9997002999534588
0.1,0.51,x,beta,1.262585700873218,0.9176592012294361,0.999741952022289
0.1,0.51,w,no,2.932125241224926,0.6453046671485722,0.9991765196937534
0.1,0.51,w,D,1.7554075049931486,0.8730961091495953,0.9993860765580392
0.1,0.51,w,mixed,1.2244427182115891,1.0317128832003561,0.9994496262506903
0.1,0.51,w,beta,0.47024646828575545,1.4955643954672038,0.9732954978107617
0.1,0.51,xw,no,3.137196678788991,0.857153708172077,0.9999831239846315
0.1,0.51,xw,D,2.279571524691701,0.9999999999999999,1.0
0.1,0.51,xw,mixed,1.8056509551392304,1.10396540650353,0.999604169507024
0.1,0.51,xw,beta,1.1131000538320461,1.3358887808451236,0.9944073501128433
0.1405,0.01,,no,2.4885976858218966,0.0,0.0
0.1405,0.01,,D,1.9697838067360727,0.12061070650782536,0.9947380964027112
0.1405,0.01,,mixed,0.8048997617481437,0.5687438347907038,0.9865011720398442
